no,name,region,original_score,점수_Base,점수_Price,점수_Growth,점수_Infra,시나리오_표준편차,시나리오_범위
122,울주군,울산,4.0,3.55,3.61,3.46,3.61,0.071,0.15
123,강남구,서울,1.5,1.31,1.22,1.35,1.34,0.059,0.13
124,군위군,대구,4.5,4.35,4.28,4.34,4.43,0.062,0.15
125,대전서구,대전,2.8,3.27,3.41,3.36,3.23,0.082,0.18
126,대전유성구,대전,2.9,3.13,3.25,3.16,3.11,0.062,0.14
127,대전중구,대전,3.6,3.97,3.97,3.99,4.0,0.015,0.03
128,대전동구,대전,4.0,4.15,4.13,4.16,4.2,0.029,0.07
129,대전대덕구,대전,4.1,4.12,4.08,4.12,4.17,0.037,0.09
130,광주남구,광주,3.0,3.47,3.55,3.55,3.48,0.043,0.08
131,광주광산구,광주,3.3,3.38,3.5,3.34,3.34,0.076,0.16
132,광주서구,광주,3.2,3.53,3.59,3.52,3.5,0.039,0.09
133,광주북구,광주,3.5,3.65,3.73,3.66,3.65,0.039,0.08
134,광주동구,광주,3.8,3.92,3.91,3.92,3.96,0.022,0.05
135,세종시,세종,2.7,3.03,3.09,2.98,3.05,0.046,0.11
136,전주완산구,전북,3.4,3.54,3.65,3.52,3.56,0.057,0.13
137,전주덕진구,전북,3.6,3.49,3.62,3.43,3.52,0.079,0.19
138,창원성산구,경남,3.1,3.03,3.09,2.85,3.14,0.127,0.29
139,창원의창구,경남,3.2,3.03,3.11,2.81,3.16,0.155,0.35
140,김해시,경남,3.7,3.5,3.56,3.45,3.58,0.059,0.13
141,아산시,충남,3.5,3.17,3.32,3.15,3.2,0.076,0.17
142,청주흥덕구,충북,3.3,3.29,3.37,3.26,3.32,0.047,0.11
143,청주상당구,충북,3.5,3.55,3.61,3.51,3.58,0.043,0.1
144,송도국제도시,인천,2.9,2.95,2.93,3.12,2.84,0.117,0.28
